plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,revision_date,date_added,gpc,image_url,image
4913,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4914,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4915,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4916,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4917,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4918,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4919,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4920,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4921,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4922,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4923,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4924,Nuts,Almonds,NA,All Sizes,NA,NA,NA,Prunus dulcis,NA,1999-12-31,1999-12-31,NA,NA,NA
4925,Nuts,Almonds,Retailer Assigned,All Sizes,NA,NA,NA,Prunus dulcis,NA,1999-12-31,1999-12-31,NA,NA,NA
4926,Nuts,Brazilnuts,NA,All Sizes,NA,NA,NA,Berthollettia excelsa,NA,1999-12-31,1999-12-31,NA,NA,NA
4927,Nuts,Chestnuts,NA,All Sizes,NA,NA,NA,Castanea sativa,NA,1999-12-31,1999-12-31,NA,NA,NA
4928,Nuts,Filberts,Cobnut/Hazelnut,All Sizes,NA,NA,NA,Corylus spp.,NA,1999-12-31,1999-12-31,NA,NA,NA
4929,Nuts,Mixed Nuts,NA,All Sizes,NA,NA,NA,NA,NA,2012-06-01,2012-06-01,NA,NA,NA
4930,Nuts,Peanuts,NA,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4931,Nuts,Peanuts,Raw,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4932,Nuts,Peanuts,Roasted - Salted,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4933,Nuts,Peanuts,Roasted - Unsalted,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4934,Nuts,Peanuts,Retailer Assigned,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4935,Nuts,Peanuts,Retailer Assigned,All Sizes,NA,NA,NA,Arachis hypogaea,NA,1999-12-31,1999-12-31,NA,NA,NA
4936,Nuts,Pecans,NA,All Sizes,NA,NA,NA,Carya illinoiensis,NA,1999-12-31,1999-12-31,NA,NA,NA
4937,Nuts,Pecans,Retailer Assigned,All Sizes,NA,NA,NA,Carya illinoiensis,NA,1999-12-31,1999-12-31,NA,NA,NA
4938,Nuts,Pine Nuts (Pignoli),NA,All Sizes,NA,NA,NA,Pinus spp.,NA,1999-12-31,1999-12-31,NA,NA,NA
4939,Nuts,Pistachio,Natural,All Sizes,NA,NA,NA,Pistacia vera,NA,1999-12-31,1999-12-31,NA,NA,NA
4940,Nuts,Pistachio,Red,All Sizes,NA,NA,NA,Pistacia vera,NA,1999-12-31,1999-12-31,NA,NA,NA
